user_id,look_id,look_liked
1,1,1
2,1,1
3,1,0
4,1,0
5,1,0
6,1,1
7,1,0
8,1,1
9,1,0
10,1,0
11,1,0
12,1,1
13,1,1
14,1,0
15,1,0
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,0
23,1,1
24,1,0
25,1,1
26,1,0
27,1,0
28,1,1
29,1,0
30,1,0
31,1,1
32,1,0
33,1,1
34,1,1
35,1,1
36,1,0
37,1,0
38,1,0
39,1,0
40,1,1
41,1,1
42,1,0
43,1,0
44,1,1
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,1
54,1,1
55,1,1
56,1,1
57,1,0
58,1,1
59,1,0
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,0
69,1,0
70,1,1
71,1,0
72,1,1
73,1,1
74,1,0
75,1,0
76,1,0
77,1,0
78,1,1
79,1,0
80,1,1
81,1,0
82,1,0
83,1,0
84,1,1
85,1,1
86,1,0
87,1,1
88,1,0
89,1,0
90,1,1
91,1,1
92,1,0
93,1,0
94,1,1
95,1,0
96,1,0
97,1,0
98,1,1
99,1,0
100,1,0
101,1,0
102,1,0
103,1,1
104,1,0
105,1,0
106,1,0
107,1,0
108,1,1
109,1,1
110,1,0
111,1,0
112,1,0
113,1,1
114,1,1
115,1,0
116,1,1
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,1
125,1,1
126,1,0
127,1,1
128,1,0
129,1,0
130,1,0
131,1,0
132,1,1
133,1,0
134,1,1
135,1,1
136,1,0
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,0
144,1,1
145,1,1
146,1,0
147,1,1
148,1,0
149,1,1
150,1,0
151,1,0
152,1,1
153,1,0
154,1,0
155,1,1
156,1,1
157,1,0
158,1,1
159,1,1
160,1,1
161,1,0
162,1,0
163,1,1
164,1,1
165,1,0
166,1,0
167,1,1
168,1,0
169,1,1
170,1,0
1,2,0
2,2,0
3,2,1
4,2,1
5,2,0
6,2,0
7,2,0
8,2,0
9,2,1
10,2,0
11,2,1
12,2,0
13,2,0
14,2,0
15,2,1
16,2,1
17,2,0
18,2,1
19,2,0
20,2,0
21,2,0
22,2,1
23,2,0
24,2,1
25,2,0
26,2,0
27,2,0
28,2,1
29,2,0
30,2,1
31,2,0
32,2,1
33,2,0
34,2,0
35,2,0
36,2,0
37,2,1
38,2,1
39,2,0
40,2,1
41,2,0
42,2,0
43,2,0
44,2,0
45,2,1
46,2,0
47,2,1
48,2,0
49,2,1
50,2,0
51,2,0
52,2,1
53,2,0
54,2,1
55,2,1
56,2,1
57,2,0
58,2,0
59,2,0
60,2,0
61,2,0
62,2,0
63,2,1
64,2,1
65,2,0
66,2,0
67,2,1
68,2,0
69,2,1
70,2,1
71,2,1
72,2,0
73,2,1
74,2,1
75,2,0
76,2,1
77,2,0
78,2,0
79,2,1
80,2,0
81,2,0
82,2,0
83,2,1
84,2,1
85,2,0
86,2,0
87,2,0
88,2,0
89,2,0
90,2,1
91,2,0
92,2,1
93,2,1
94,2,1
95,2,0
96,2,0
97,2,1
98,2,0
99,2,0
100,2,0
101,2,1
102,2,0
103,2,0
104,2,1
105,2,1
106,2,1
107,2,0
108,2,0
109,2,0
110,2,1
111,2,1
112,2,1
113,2,1
114,2,1
115,2,1
116,2,0
117,2,1
118,2,1
119,2,1
120,2,0
121,2,1
122,2,0
123,2,1
124,2,1
125,2,1
126,2,1
127,2,0
128,2,0
129,2,0
130,2,1
131,2,0
132,2,0
133,2,1
134,2,0
135,2,1
136,2,1
137,2,1
138,2,0
139,2,1
140,2,1
141,2,1
142,2,0
143,2,0
144,2,0
145,2,0
146,2,1
147,2,1
148,2,1
149,2,0
150,2,1
151,2,1
152,2,1
153,2,0
154,2,0
155,2,0
156,2,0
157,2,1
158,2,1
159,2,1
160,2,0
161,2,1
162,2,1
163,2,0
164,2,0
165,2,0
166,2,0
167,2,0
168,2,0
169,2,1
170,2,0
1,3,1
2,3,0
